Date,DJI,NIFTY,UKX
2016-08-25,18448.41,8769.15,6868.96
2016-08-26,18395.4,8743.95,6858.95
2016-08-29,18502.99,8709.55,6828.54
2016-08-30,18454.3,8697.6,6868.51
2016-08-31,18400.88,8708.8,6835.78
2016-09-01,18419.3,8573.35,6816.9
2016-09-02,18491.96,8583.4,6838.05
2016-09-06,18538.12,8520.4,6820.79
2016-09-07,18526.14,8677.9,6781.51
2016-09-08,18479.91,8659.1,6745.97
2016-09-09,18085.45,8699.4,6894.6
2016-09-12,18325.07,8693.05,6879.42
2016-09-13,18066.75,8708.95,6826.05
2016-09-14,18034.77,8691.3,6846.58
2016-09-15,18212.48,8615.25,6858.7
2016-09-16,18123.8,8615.25,6776.95
2016-09-19,18120.17,8638,6700.9
2016-09-20,18129.96,8626.25,6665.63
2016-09-21,18293.7,8514,6673.31
2016-09-22,18392.46,8484.95,6730.3
2016-09-23,18261.45,8433.75,6710.28
2016-09-26,18094.83,8497.05,6813.55
2016-09-27,18228.3,8543.55,6830.79
2016-09-28,18339.24,8432,6834.77
2016-09-29,18143.45,8525.75,6911.4
2016-09-30,18308.15,8296.3,6909.43
2016-10-03,18253.85,8108.45,6818.04
2016-10-04,18168.45,8111.6,6807.67
2016-10-05,18281.03,8079.95,6849.38
2016-10-06,18268.5,8074.1,6919.42
2016-10-07,18240.49,7929.1,6899.33
2016-10-10,18329.04,8002.3,6983.52
2016-10-11,18128.66,8033.3,7074.34
2016-10-12,18144.2,7965.5,7033.25
2016-10-13,18098.94,8114.3,6999.96
2016-10-14,18138.38,8126.9,7044.39
2016-10-17,18086.4,8142.15,7097.5
2016-10-18,18161.94,8224.5,7070.88
2016-10-19,18202.62,8192.9,7024.01
2016-10-20,18162.35,8086.8,6977.74
2016-10-21,18145.71,8128.75,7013.55
2016-10-24,18223.03,8143.15,6947.55
2016-10-25,18169.27,8102.05,7000.06
2016-10-26,18199.33,8246.85,7021.92
2016-10-27,18169.68,8261.75,7026.9
2016-10-28,18161.19,8170.8,7020.47
2016-10-31,18142.42,8221.8,6986.4
2016-11-01,18037.1,8182.45,7017.64
2016-11-02,17959.64,8153.6,6958.09
2016-11-03,17930.67,8139.45,6986.57
2016-11-04,17888.28,8104.35,6996.26
2016-11-07,18259.6,8082.4,6954.22
2016-11-08,18332.74,8061.3,6917.14
2016-11-09,18589.69,7979.1,6845.42
2016-11-10,18807.88,7985.75,6790.51
2016-11-11,18847.66,7908.25,6693.26
2016-11-14,18868.69,8032.85,6806.9
2016-11-15,18923.06,8034.85,6843.13
2016-11-16,18868.14,8103.6,6911.84
